dataset_name,fit_time,score_time,test_AUC,test_Accuracy,test_f1,test_Recall,test_Precision,test_MCC,test_Average Precision,test_Sensitivity,test_Specificity,best_params
Cat_1,1.5926060676574707,0.03308649063110351,0.8049245307322099,0.770105212816834,0.5331142983509193,0.5777983348751156,0.49589404012098537,0.3843381812603537,0.5796267536986931,0.5777983348751156,0.8265822784810126,{'C': 1000}
Cat_1_sd,1.9098111152648927,0.029543113708496094,0.759623498864005,0.7168962203715568,0.5502501478699857,0.5952447552447553,0.5129348277293483,0.34815185887816696,0.5602285922125775,0.5952447552447553,0.7670886075949367,{'C': 1000}
Cat_1_2,3.10347261428833,0.029576730728149415,0.6590805370739558,0.6159403437815977,0.6420612387925898,0.6369846472313265,0.647335507520779,0.2278948501190842,0.6944698697877615,0.6369846472313265,0.5911392405063292,{'C': 1000}
Cat_1_2_sd,3.345828723907471,0.03404502868652344,0.6517999382525471,0.6115702479338843,0.6492377919193884,0.6370731707317072,0.6620740708860933,0.2146732563452956,0.7079062028846085,0.6370731707317072,0.5784810126582278,{'C': 1000}
Cat_1_2_3,3.613413190841675,0.031116724014282227,0.6548050303252522,0.6148160559481314,0.6593674840278693,0.6512977234476038,0.668049196078478,0.21653614045193756,0.7157910436610078,0.6512977234476038,0.5658227848101266,{'C': 1000}
Complete,4.0311445713043215,0.03078570365905762,0.6539372020384678,0.6257069408740359,0.6791798652657086,0.6675324675324675,0.6915395652185412,0.2305753625631589,0.7312106329267672,0.6675324675324675,0.5645569620253165,{'C': 1000}
dataset_name,fit_time,score_time,test_AUC,test_Accuracy,test_f1,test_Recall,test_Precision,test_MCC,test_Average Precision,test_Sensitivity,test_Specificity,best_model
cat_1,7.02637882232666,0.016178464889526366,0.8405770686167584,0.8086738143533276,0.62437156097421,0.7011100832562442,0.5629896056756312,0.503611050287647,0.6406381077773067,0.7011100832562442,0.8401596387970652,lr
cat_1_sd,7.558340787887573,0.014982461929321289,0.810447472385713,0.7691512139942633,0.6354372692292567,0.6923076923076923,0.5886214484665064,0.4724130826444644,0.6523800628222981,0.6923076923076923,0.8008304442473596,lr
cat_1_2,8.835560178756714,0.018255043029785156,0.6989756640563026,0.6438250050850906,0.6680942302798825,0.6623655913978496,0.6740828788053514,0.2839840796249468,0.7398969851563382,0.6623655913978496,0.6219463033137144,lr
cat_1_2_sd,9.083035659790038,0.014785289764404297,0.6960819889651202,0.6523461637976957,0.687619736561022,0.6776901004304161,0.6983237076811915,0.29618138829341306,0.7532480986559447,0.6776901004304161,0.6193662823510441,lr
cat_1_2_3,9.284375,0.0186798095703125,0.6950560880736403,0.6472262506408848,0.6855101983967821,0.6707547169811321,0.701183109718061,0.2847020935494192,0.7532260389056232,0.6707547169811321,0.6155688139966137,lr
complete,9.92816071510315,0.024735307693481444,0.6946602378291414,0.6509143190310869,0.6982702026952843,0.6802823263692829,0.7176030741960367,0.28552455543784466,0.7676536725651234,0.6802823263692829,0.6079013141981778,lr
